analysis_id,75ms778fh0865i8
mouse_life_stage,Middle aged adult
parameter_name,Transitional B Cells (CD21/35 low)
pvalue,0.5547246
gene_symbol,Snap23
mouse_strain,C57BL
gene_accession_id,MGI:109356
parameter_id,IMPC_IMM_069_001
