analysis_id,p693yjylfil5709
parameter_name,Neural tube closure
parameter_id,IMPC_GEL_027_001
gene_accession_id,MGI:1923959
pvalue,0.07380899
mouse_life_stage,Early adult
gene_symbol,Arpc2
mouse_strain,129SV
