parameter_name,lens opacity
gene_symbol,Ift74
pvalue,0.6221527
gene_accession_id,MGI:1914944
mouse_life_stage,Early adult
analysis_id,9q74kng4zl6pe37
parameter_id,M-G-P_014_001_010
mouse_strain,C57BL
