gene_symbol,Fpgs
parameter_id,IMPC_ABR_004_001
analysis_id,217ril1o8f93a25
parameter_name,6kHz-evoked ABR Threshold
pvalue,0.1062407
mouse_strain,C57BL
gene_accession_id,MGI:95576
mouse_life_stage,Early adult
