analysis_id,632r06p2v8a033d
mouse_strain,129SV
parameter_id,IMPC_ABR_012_001
parameter_name,30kHz-evoked ABR Threshold
mouse_life_stage,Early adult
gene_symbol,Mms22l
pvalue,0.719735
gene_accession_id,MGI:2684980
