gene_symbol,Rufy4
pvalue,0.8334169
parameter_id,MGP_IMM_129_001
parameter_name,CD11b-high cDC - % of CD45+
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,z4z64m8w6576616
gene_accession_id,MGI:3588214
