analysis_id,m6735lbk4peb2tq
gene_symbol,Ift74
parameter_name,Periphery resting time
mouse_strain,C57BL
parameter_id,ESLIM_007_001_007
mouse_life_stage,Early adult
gene_accession_id,MGI:1914944
pvalue,0.2143882
