analysis_id,24ydl8xc4g3700j
parameter_id,MGP_IMM_125_001
gene_accession_id,MGI:88174
mouse_strain,C57BL
gene_symbol,Bmi1
pvalue,0.9373659
mouse_life_stage,E15.5
parameter_name,Eosinophils - % of CD45+
