analysis_id,djw511ap29u1lj6
mouse_life_stage,Early adult
parameter_name,Resting Treg cells - % of Treg
gene_symbol,Gfi1b
mouse_strain,C57BL
parameter_id,MGP_MLN_010_001
gene_accession_id,MGI:1276578
pvalue,0.6887889
