gene_symbol,Casq1
parameter_id,MGP_PBI_040_001
mouse_strain,C57BL
pvalue,0.435818
mouse_life_stage,Early adult
gene_accession_id,MGI:1309468
analysis_id,2844887318i9468
parameter_name,Eosinophil number
