parameter_id,M-G-P_014_001_001
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,yw9a605vx1s1ox0
pvalue,0.8839216
gene_symbol,Rnf114
parameter_name,Eye
gene_accession_id,MGI:1933159
