gene_symbol,Sla2
gene_accession_id,MGI:1925049
mouse_life_stage,Early adult
analysis_id,p7qn19uv94o0w50
parameter_name,PP1 + pulse startle magnitude
parameter_id,ESLIM_011_001_007
pvalue,0.8898677
mouse_strain,C57BL
