parameter_name,Startle response
mouse_life_stage,Early adult
analysis_id,em17mjc0rl3c44p
mouse_strain,C57BL
gene_accession_id,MGI:1921442
pvalue,0.5030552
gene_symbol,Arpc5l
parameter_id,ESLIM_008_001_013
