analysis_id,oqac4xgo5wp1vm2
gene_accession_id,MGI:1934811
pvalue,0.07797651
parameter_id,IMPC_CAL_008_001
gene_symbol,Nucks1
parameter_name,Total food intake
mouse_life_stage,Late adult
mouse_strain,C57BL
