parameter_name,BMC/Body weight
gene_accession_id,MGI:88461
mouse_strain,C57BL
parameter_id,HRWLLA_DXA_007_001
gene_symbol,COL6A3
analysis_id,t3tga86b4bk86z5
mouse_life_stage,Early adult
pvalue,0.1667328
