analysis_id,o64g281dkdi3b4l
mouse_strain,C57BL
parameter_name,Center permanence time
gene_symbol,Ivd
pvalue,0.7530095
parameter_id,IMPC_OFD_016_001
gene_accession_id,MGI:1929242
mouse_life_stage,Early adult
