parameter_id,IMPC_CSD_012_001
gene_accession_id,MGI:2444114
pvalue,0.9439983
analysis_id,2jgo9ujzkk1u8x2
mouse_strain,C57BL
gene_symbol,Zcchc2
parameter_name,Coat - hair distribution - head
mouse_life_stage,Early adult
