parameter_name,Hindlimb nail - number
mouse_life_stage,Early adult
gene_symbol,Dcaf12
gene_accession_id,MGI:1916220
parameter_id,IMPC_CSD_051_002
pvalue,0.1129594
analysis_id,m36i2cc6r6ckr68
mouse_strain,C57BL
