analysis_id,23109ev7de079dp
gene_symbol,Hpca
gene_accession_id,MGI:1336200
pvalue,0.6830643
parameter_name,HR
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
parameter_id,JAXLA_ECG_002_001
