analysis_id,04298br0b043028
mouse_life_stage,Early adult
pvalue,0.1636772
parameter_id,IMPC_CSD_079_001
gene_accession_id,MGI:1332236
mouse_strain,C57BL
parameter_name,Aggression
gene_symbol,Cds2
