parameter_id,HMGULA_CBC_015_001
pvalue,0.6826513
mouse_strain,C57BL
gene_accession_id,MGI:1915848
parameter_name,Total cholesterol
gene_symbol,Dnajc8
analysis_id,94vt397o8a2n8w7
mouse_life_stage,Early adult
