gene_symbol,Gfi1b
analysis_id,6za17t6p5393546
gene_accession_id,MGI:1276578
parameter_id,IMPC_EYE_004_001
pvalue,0.2538859
mouse_strain,C57BL
parameter_name,Eyelid morphology
mouse_life_stage,Early adult
