analysis_id,612pu5n8n0jh5xj
parameter_name,Chloride
parameter_id,IMPC_CBC_003_001
mouse_strain,C57BL
gene_symbol,Frmpd1
gene_accession_id,MGI:2446274
mouse_life_stage,Early adult
pvalue,0.3988607
