parameter_id,HRWLLA_OFD_007_001
gene_symbol,Secisbp2l
mouse_life_stage,Late adult
pvalue,0.9648533
mouse_strain,C57BL
analysis_id,9574i95tdv7x94o
gene_accession_id,MGI:1917604
parameter_name,Whole arena resting time
