gene_symbol,Cisd2
gene_accession_id,MGI:1914256
analysis_id,1q4bn06gd021k01
mouse_strain,C57BL
parameter_id,JAXLA_CSD_023_001
parameter_name,Vibrissae - presence
pvalue,0.8746307
mouse_life_stage,Early adult
