parameter_id,M-G-P_020_001_001
analysis_id,731t39512r33im0
gene_symbol,Etfdh
mouse_strain,C57BL
pvalue,0.9369333
parameter_name,Body Weight
mouse_life_stage,Early adult
gene_accession_id,MGI:106100
