analysis_id,j92vj4w0vl7790e
parameter_name,Narrow eye opening
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.6008167
gene_symbol,Bach2
gene_accession_id,MGI:894679
parameter_id,IMPC_EYE_006_001
