analysis_id,68372j57w5823ja
gene_accession_id,MGI:87968
mouse_life_stage,E9.5
gene_symbol,Ahcy
mouse_strain,C57BL
parameter_id,JAXLA_DXA_003_001
pvalue,0.4891305
parameter_name,Lean mass
