analysis_id,1566ascrx344z0i
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Total B cells - % of CD45+
gene_accession_id,MGI:1276578
parameter_id,MGP_IMM_041_001
gene_symbol,Gfi1b
pvalue,0.6377874
