parameter_name,Cornea vascularisation
mouse_strain,B6J
mouse_life_stage,Early adult
gene_symbol,Nr0b2
parameter_id,ESLIM_014_001_008
analysis_id,7frie8973a0w10p
gene_accession_id,MGI:1346344
pvalue,0.5311161
