gene_symbol,Lpgat1
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
parameter_name,KLRG1+ mature NK cell number
gene_accession_id,MGI:2446186
pvalue,0.7600857
parameter_id,MGP_PBI_031_001
analysis_id,0s4v6912pqn42oi
