analysis_id,5z47gw68205i8f4
parameter_id,M-G-P_016_001_006
parameter_name,Mean-corpuscular-haemoglobin
gene_symbol,Rnf114
mouse_strain,C53BL
pvalue,0.9277322
gene_accession_id,MGI:1933159
mouse_life_stage,Early adult
