parameter_name,Narrow eye opening
parameter_id,IMPC_EYE_006_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.8096881
gene_accession_id,MGI:95576
gene_symbol,Fpgs
analysis_id,5xv721a5dk2u2sx
