gene_symbol,Bmp7
mouse_life_stage,Early adult
pvalue,0.6577078
gene_accession_id,MGI:103302
mouse_strain,C57BL
analysis_id,j819h769ffu0u57
parameter_name,Persistence of hyaloid vascular system
parameter_id,IMPC_EYE_027_001
