parameter_name,HDL-cholesterol
mouse_life_stage,Early adult
gene_symbol,Bmi1
gene_accession_id,MGI:88174
mouse_strain,C57BL
parameter_id,IMPC_CBC_016_001
analysis_id,4nwt8kvx6s40kpw
pvalue,0.9482598
