parameter_name,Centre permanence time
pvalue,0.5097418
analysis_id,9518146vw727j6s
gene_accession_id,MGI:1914061
parameter_id,ESLIM_007_001_012
mouse_strain,C57BL
gene_symbol,Duoxa2
mouse_life_stage,Early adult
