analysis_id,981bi761u46q8t5
gene_accession_id,MGI:107414
mouse_life_stage,Early adult
gene_symbol,Tnfsf10
parameter_id,IMPC_GEO_064_001
mouse_strain,C57BL
parameter_name,Edema
pvalue,0.5431605
