parameter_id,MGP_BMI_014_001
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,79cdh5e425lsmd8
gene_accession_id,MGI:894679
gene_symbol,Bach2
parameter_name,Mature B cells (Hardy fraction F) - % of CD45+
pvalue,0.6837913
