parameter_name,HDL-cholesterol
parameter_id,HMGULA_CBC_016_001
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,71gc9xb2826h3i2
gene_accession_id,MGI:891989
gene_symbol,Npbwr1
pvalue,0.08716998
