analysis_id,eqa045917287594
parameter_name,Snout size
mouse_strain,C57BL
gene_accession_id,MGI:88328
parameter_id,MGP_CSD_067_001
pvalue,0.4204941
gene_symbol,Tnfsf8
mouse_life_stage,Early adult
