analysis_id,8kxu6uu6c58299g
pvalue,0.5704481
mouse_life_stage,Early adult
gene_accession_id,MGI:1915472
parameter_name,Respiration Rate
mouse_strain,C57BL
gene_symbol,Tubb4b
parameter_id,IMPC_ECH_018_001
