gene_symbol,Dnajc5b
pvalue,0.6529072
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_001_001
analysis_id,2v7v81lz7n30657
parameter_name,Sodium
mouse_strain,C57BL
gene_accession_id,MGI:1913576
