parameter_name,Total protein
pvalue,0.2696097
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_006_001
gene_symbol,Trp53rkb
analysis_id,8n5haq0b4653fw0
gene_accession_id,MGI:1914050
mouse_strain,C57BL
