gene_symbol,Morn5
gene_accession_id,MGI:1922745
mouse_life_stage,Early adult
parameter_id,MGP_CSD_064_001
mouse_strain,C57BL
parameter_name,Head morphology
analysis_id,xo4gxpo738n653w
pvalue,0.606883
