analysis_id,8bs5844kzi54481
mouse_strain,C57BL
gene_accession_id,MGI:104640
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
mouse_life_stage,Early adult
parameter_id,MGP_MLN_005_001
gene_symbol,Rab17
pvalue,0.2008937
