parameter_id,JAX_URI_002_001
gene_symbol,Slc30a4
analysis_id,9bu1s92609c899e
gene_accession_id,MGI:1345282
mouse_strain,C57BL
parameter_name,Creatinine
pvalue,0.6896723
mouse_life_stage,Middle aged adult
