mouse_strain,129SV
pvalue,0.6549153
mouse_life_stage,Early adult
gene_symbol,Mms22l
analysis_id,eov44gsc2279tv6
parameter_id,IMPC_CBC_018_001
parameter_name,Glucose
gene_accession_id,MGI:2684980
