parameter_name,Skull shape
analysis_id,3mt396lnt67bo58
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.6504671
gene_symbol,Ola1
gene_accession_id,MGI:1914309
parameter_id,IMPC_XRY_001_001
