parameter_id,IMPC_ECH_008_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1915325
parameter_name,LVIDd
pvalue,0.5525145
gene_symbol,Lurap1
analysis_id,76w02v67kq6gvq5
