gene_symbol,Stk35
mouse_life_stage,Early adult
parameter_id,MGP_IMM_007_001
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
gene_accession_id,MGI:1914583
mouse_strain,C57BL
pvalue,0.8717785
analysis_id,kztmu7cu12v1jcw
