gene_symbol,Serinc3
parameter_id,TCPLA_XRY_033_001
pvalue,0.42657
analysis_id,w922k53q83pa135
parameter_name,Tibia length
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1349457
