mouse_strain,129SV
gene_symbol,Ddx27
parameter_id,IMPC_LDT_006_001
analysis_id,4y06ub159zx0o44
mouse_life_stage,Early adult
gene_accession_id,MGI:2385884
parameter_name,Latency to first transition into dark
pvalue,0.9627438
