mouse_strain,129SV
mouse_life_stage,Early adult
analysis_id,2mrjfcd51p9m3gw
parameter_id,M-G-P_007_001_010
parameter_name,center - distance
gene_symbol,Bpifa3
pvalue,0.5305082
gene_accession_id,MGI:1920638
