mouse_strain,129SV
parameter_id,MGP_MLN_010_001
analysis_id,409h4l30s6354m6
gene_accession_id,MGI:1918025
parameter_name,Resting Treg cells - % of Treg
gene_symbol,Zmynd8
mouse_life_stage,Early adult
pvalue,0.6838901
