gene_symbol,GJA10
parameter_id,IMPC_ACS_033_001
analysis_id,g5engre541k69y2
gene_accession_id,MGI:1339969
mouse_strain,C57BL
pvalue,0.9970743
parameter_name,% Pre-pulse inhibition - PPI1
mouse_life_stage,Early adult
