analysis_id,d153t7tgrz9krug
gene_accession_id,MGI:107566
gene_symbol,Kifap3
mouse_strain,C57BL
parameter_id,IMPC_GEL_063_001
parameter_name,Delayed embryonic development
pvalue,0.4586207
mouse_life_stage,Early adult
