parameter_id,IMPC_CAL_008_001
mouse_life_stage,E9.5
gene_symbol,Eprs1
analysis_id,67mg3bh8sbsrax5
pvalue,0.6137386
mouse_strain,C57BL
parameter_name,Total food intake
gene_accession_id,MGI:97838
