parameter_name,Center permanence time
mouse_life_stage,E18.5
mouse_strain,C57BL
analysis_id,o40e0cbj884gew7
pvalue,0.468775
gene_accession_id,MGI:1914561
gene_symbol,Nanp
parameter_id,IMPC_OFD_016_001
