gene_symbol,Gja10
pvalue,0.3802847
gene_accession_id,MGI:1339969
mouse_strain,C57BL
parameter_name,Body weight
analysis_id,zl968vb4bu55552
mouse_life_stage,Early adult
parameter_id,M-G-P_009_001_003
