gene_symbol,Trdmt1
analysis_id,313ej2u3n687l5z
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_029_001
mouse_strain,C57BL
pvalue,0.6666658
gene_accession_id,MGI:1274787
parameter_name,Midbrain
