gene_symbol,Bmp7
gene_accession_id,MGI:103302
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Time mobile dark side
pvalue,0.3096414
parameter_id,JAX_LDT_005_001
analysis_id,7eas73y2015hn91
