analysis_id,67815xb05kk46i0
gene_symbol,Slc39a10
mouse_strain,C57BL
parameter_id,IMPC_CBC_004_001
gene_accession_id,MGI:1914515
pvalue,0.8560387
mouse_life_stage,E9.5
parameter_name,Urea (Blood Urea Nitrogen - BUN)
