parameter_name,Creatinine
gene_accession_id,MGI:97054
analysis_id,vt7i6hzqo6zl4sy
gene_symbol,Mov10
parameter_id,HMGULA_CBC_005_001
mouse_life_stage,Early adult
pvalue,0.2004597
mouse_strain,C57BL
