analysis_id,2ah71066n4b683o
parameter_id,MGP_IMM_066_001
mouse_strain,129SV
parameter_name,CD11b-high cDC - % of cDC
gene_accession_id,MGI:1923959
pvalue,0.5136143
mouse_life_stage,Early adult
gene_symbol,Arpc2
